어플 이름,리뷰 내용,별점,리뷰 작성 시 앱 버전
AI 그림일기,스마트한 시대에 나를 찾아가는 작은 일기장 필앱 강추!!!!!,5,2.0.26
AI 그림일기,좋아요,5,2.0.26
AI 그림일기,바쁜 일상속에서 만나는 작은 기쁨!,5,2.0.26
AI 그림일기,나중에 달력 만들어야쥐,5,2.0.26
AI 그림일기,아주좋아요,5,2.0.26
AI 그림일기,"세줄일기는 은밀하게 서랍에 넣어둔 일기책을 꺼내 쓰는 것 같은 느낌을 들게합니다. 또 다른이들의 일기를 염탐하는ㅋ 재미도 있습니다. 한가지 지적하고 싶은것은. [보안설정]에 '스크랩' 가능여부를 따로 선택하게끔 하면 좋겠습니다. 제 일기에 '공감글/좋아요'는 고맙지만, '스크랩'은 부담스러워서요!",5,2.0.26
AI 그림일기,오프라인으로 일기 못씀,1,
AI 그림일기,소중한 어플입니다! 강추,5,2.0.26
AI 그림일기,세줄일기 애용하고 있는 사용자입니다.. 혹시 개인이 쓰던 일기를 둘이 쓰는 일기장으로 이동할 수 있나요? 메일함 이동하듯이.. 이동하고 싶은데요 잘못쓴걸 지우고 다시 쓰는 번거로움이 있어요 빠른 답변부탁드려용,5,2.0.26
AI 그림일기,"'설렜어.'라고 '설레다'의 과거형 축약형을 썼는데 ㅠ '렜'이 고딕체인 다른 폰트로 나오더라구요.. 폰트 자체에서 지원하지 않는 글자인 게 좀 의아하긴 했는데, 이런 경우 기왕이면 비슷한 모양인 다른 글꼴로 대체될 수 있도록 해 주시면 좋을 거 같아요..ㅠ",4,2.0.26
AI 그림일기,좋아요,5,2.0.26
AI 그림일기,재밌고 너무 잘쓰고있어요!! 속마음을 털어놓을 일기를쓰니 마음이 놓이는 기분이에요!!!!!!! 업데이트를 바라는 아쉬운 부분들은ㅠㅠ 다른분일기에 댓글 비슷한 공감글을 남길수있는데 그런시스템 말고도 다른 글쓴이분들과 챗팅할수 있는 시스템이 생기면 정말 좋을것 같아요! 그리고 목차정리기능 또 다른사람들이 읽는것이 꺼려지면 비밀글로 설정할수 있는 시스템도 생기면 좋을것 같아용,5,2.0.26
AI 그림일기,너무 좋은데 아쉬운점은 다른사람에게 링크로 알려줄 수 없다는 것 입니다 . 프로필 링크나/ 일기책 링크 따로 있었으면 좋겠어요 ㅠㅜ,5,2.0.26
AI 그림일기,항상 잘 쓰고 있습니다!,5,2.0.26
AI 그림일기,기분과 감정을 세 줄로 정리할 수 있어 좋다,4,2.0.26
AI 그림일기,당신은 자신이 쓴 글을 다시 찾아 읽어보면서 이유없이 흐르는 눈물을 발견하게 됩니다.,5,2.0.26
AI 그림일기,괜찮은 듯. 지금 처음 다운 받아 우선 써보지만 얼마간 써보고 괜찮다면 프렌즈를 할 생각이다. 월 결제가 조금 아쉽다.,5,2.0.26
AI 그림일기,이뻐요 좋아요,5,2.0.26
AI 그림일기,깔끔하고군더더기없어서좋아요 세줄일기지만좀더길게쓸수도있게선택가능함좋겠어요사진도여러장콜라주해서올리는기능도요,5,2.0.26
AI 그림일기,일기장을 삭제 했는데 검색을 하면 나옵니다,3,2.0.26
AI 그림일기,평소 일기를쓰자니 길게써야할것같고 생각이많아지고 그러다보면 못쓰고 넘기거나 쓰다말았는데 그것들을 보완한 세줄일기 간편하고 심플하니 너무좋네요 인생살면서 처음 후기라는걸 적어보네요,5,2.0.26
AI 그림일기,3줄이라 쓰기 편하고 좋아요,5,2.0.26
AI 그림일기,3줄 밖에 안 써서 평소 글을 쓰다 만 저에게 정말 도움이 되었어요. 다른 사람들의 일기도 읽을 수 있고요. 정말 좋아요!,4,2.0.26
AI 그림일기,레이아웃이 너무좋네요,5,2.0.26
AI 그림일기,차분히 나를 돌아보게 해요,5,2.0.26
AI 그림일기,숨기기 기능은 어케하는건가요??,1,2.0.26
AI 그림일기,어플 잘쓰고 있습니다 무척 감사드립니다 지나쳐갈 수 있는 일상을 남기고 여행 추억에 최적화된 어플입니다 단 일기가 쌓이다보니 검색기능이 있으면 좋겠다는 생각이 듭니다 언제 무슨일이 있었는지 찾아보기 힘들어서요 또 일기를 모아서 나만의 책으로 만들고 싶은데 pdf로 다운받은걸 어디에 맡기면 좋을지 궁금합니다 세줄일기에 특화된 온라인 인쇄소를 공유해주세요 비용이 좀 들어도 관계없습니다 나만의 책이 되는거니까요 미리 감사드립니다,5,2.0.26
AI 그림일기,압축하기가 어렵지만 감성적인 짧은 기록이 주는 작은 감동이 있어 좋은 앱인것 같습니다. 정말 오랫동안 유지돼길 기원 드립니다. 감사합니다. 으랏차차.,5,2.0.26
AI 그림일기,제가원했던 방식의 디자인과 깔끔한 설정이예요,5,2.0.26
AI 그림일기,세 줄만 쓸 수 있게 하다보니 마음속 핵심적인 부분을 끄집어 쓰게되니 좋았습니다,5,2.0.26
AI 그림일기,요즘에 구독자수가 살짝 왔다리 갔다리 숫자가 맘대로 수정되고있는것 같습니다. 구독취소같아보이진 않더라구요. 어느날되면 다시 제정상으로 돌아온다거나 조금 확인해보실 필요가 있으신거같습니다.,4,2.0.26
AI 그림일기,ㅇ원래리뷰잘안남기는데 너무좋아서 남겨요! 매일 하루를 기록할수있다는게 너무 좋아요 부담스럽지도 않은 세줄ㅎㅎ 소중한 하루하루 잊지않도록 알차게 기록하게쯤미당,5,2.0.26
AI 그림일기,세줄이라 부담도 없고 요약하게 되서 좋네요 꾸준히 쓰고 싶어요,5,2.0.26
AI 그림일기,지금 막 사용 하려고 하는데..괜찮은거?,5,2.0.26
AI 그림일기,일기는 원래 비밀일기로 생각을 하고 있었는데 너무나 새로운 경험이네요. 시끄러운 세상 많은 말이 필요없이 언제든지 짧게 내 생각을 정리할 수 있다는 점도 매력있고요. 단지 특정인 차단기능이 없다는 게 함정?,4,2.0.26
AI 그림일기,얼마 전 세줄일기를 알게된 후 매일매일 정말 잘쓰고 있습니다. 여자친구와 비밀 일기장을 만들어 하루동안 하지 못했던 말들을 하며 서로 더 많은 공감들을 쌓아 가는중입니다. 그런데 갤럭시 노트9을 쓰고 있는데 숨은 글을 보던 중 스크롤을 하여도 내려가지가 않아 글을 읽다가 못보고 있습니다. 빠른 업데이트 해주셨으면 좋겠습니다.,4,2.0.26
AI 그림일기,너무 잘 쓰고 있습니다. 놀라운 세줄의 힘~!,5,2.0.26
AI 그림일기,"앱은 정말 좋은데 일기 pdf 만드는 비용이 너무 비싸요. 저는 pdf 기능만 사용하고 싶은데 3300원을 매월마다 내라니,,,, 너무 부담되는 비용이네요 pdf만은 무료로 하는것도 좋은 것 같네요",3,2.0.26
AI 그림일기,완전내스타일,5,2.0.26
AI 그림일기,"일기장 어플 중에 제일 예쁜 것 같아요 근데 아쉬운 점이 있어요ㅠㅠ 1. 일기장 화면에서 목록 버튼을 누르면 날짜별로 글자만 쭉 나오는 목록이 기본으로 뜨도록 설정되어 있는데, 기본 목록 스타일을 개인이 선택할 수 있으면 좋겠어요 (저는 사진이 보이도록 목록을 정렬하는 걸 좋아해서요) 2. 일기책 목록이 크게 보이면 좋겠어요 저는 일기책이 하나 뿐인데 너무 빈 화면이 많고 일기책이 작게 보여서 아쉬워요 / 아니면 어플을 켰을 때부터 일기책 대표화면이 꽉 차게 뜨는 기능이 있으면 더 직관적일 것 같아요",4,2.0.26
AI 그림일기,너무 잘 사용하고있어요 제 일기장이 비공개로 하고싶었지만 공개로되어있더라구요. 중간에 바꾸기는 안되나요?,5,2.0.26
AI 그림일기,좋습니다,5,2.0.26
AI 그림일기,굿,5,2.0.26
AI 그림일기,굿,5,2.0.26
AI 그림일기,갑 오브 갑!,5,2.0.26
AI 그림일기,좋아요 잘쓰고 있습니다 아직은 비공개로 혼자만에 기록을 하고 있지만 언젠간 비공개로도 하고 싶은,5,2.0.26
AI 그림일기,친구들이랑 교환일기 쓰고 싶어서 다운로드했는데 3명까지 밖에 안되는 게 너무 아쉽네요ㅠㅠㅜㅜ 더 많은 친구들과 함께 쓸 수 있는 기능이 있었으면 좋겠습니다ㅠ,2,2.0.26
AI 그림일기,내 삶의 또 하나의 힐링,5,2.0.26
AI 그림일기,디자인이 예뻐서 매일 일기쓰고싶을거같아요! 가족과 일상을 공유하는 일기장을 만들고싶은데 공유 일기장의 최대인원이 3명이라서 아쉽네요!,5,2.0.26
AI 그림일기,간편하게 일상기록 좋아요,5,2.0.26
AI 그림일기,다 좋지만 장소쓸때 글자 수 제한을 조금 더 늘릴 수 있으면 좋겠어요,4,2.0.26
AI 그림일기,정말 잘 사용하고 있습니다 그중에서 숨은 글 글자수가 해제된 부분이 정말 마음에 들기도 하구요!! 그런데 쓰고 난후 다음에 일기장을 확인해 보면 숨은 글이 안내려가요!! 빠른시일내에 수정 부탁드립니다! 정말 잘 쓰고있어요 앞으로도 오래오래 만나요,5,2.0.26
AI 그림일기,세줄로도 저의 이야기가 만들어지게되니 좋네요 ㅎㅎ(+답변 감사합니다.,5,2.0.24
AI 그림일기,사진이 여러장 업로드되면 좋을거같아요,5,2.0.26
AI 그림일기,모든것이 다 좋습니다.. 그런데 일기가 비밀처리 기능은 없나요?? 다 공개되어서요,5,2.0.26
AI 그림일기,좋아요!!,5,2.0.26
AI 그림일기,우연히 발견한 세줄 일기 때문에 하루하루 매일 좀 더 깊이 생각하는 시간을 갖게 됐습니다.,5,2.0.26
AI 그림일기,마음편한 세줄과 사진을 고민하고 또 타인의 고민을 보는 것만으로도 힐링이 되는 좋은 어플인 것 같아요. 덕분에 잘 쓰고 있습니다 :-),5,2.0.26
AI 그림일기,너무 좋은 앱인것 같아요. 넘넘. 잘 쓰고 있어요. 고맙습니다,5,2.0.26
AI 그림일기,간결하면서도 강력한 세줄의힘,5,2.0.26
AI 그림일기,"사용을 하다가 한동안 잊어버리고 글을 안썼더니 비밀번호가 설정되어 있었다는걸 잊었어요.. 근데 비밀번호 입력란 위에 좁쌀같은 글씨로 비밀번호 분실시 앱을 삭제, 재설치 하라고..ㅠㅠ 이전에 쓴 글은 다 지워지는거 아닌가요? 비밀번호를 재설정하는 기능은 왜 없는 건가요?",2,2.0.26
AI 그림일기,앱이 안열려요,5,2.0.26
AI 그림일기,따스하고 좋은앱이예요^^ 아참 혹시 비공개로 만든 일기책을 공개로 변경하는 방법이 있을까요? 설정에서 찾아도 없네요ㅠㅜ,5,2.0.26
AI 그림일기,좋아요~:),5,
AI 그림일기,보며주기식이 아닌 진짜 내얘기!,5,2.0.26
AI 그림일기,짧은 글속에 듬뿍 담겨진 긴 사연들~~♡♡♡ 숨겨진 내용 느끼기 ᆢ! !,5,2.0.26
AI 그림일기,매일 만족하며 쓰고있습니다,5,2.0.26
AI 그림일기,😀👍😆😆😂😂,5,2.0.26
AI 그림일기,재밌네요,5,2.0.26
AI 그림일기,예뻐요,5,2.0.26
AI 그림일기,좋아요~,5,2.0.26
AI 그림일기,다른데보다 간단하고 세줄이라 부담스럽지않아서 좋습니다. 강력추천.,5,2.0.26
AI 그림일기,좋은 어플! 다운받은 내 자신을 칭찬합니다! 감사합니다!,5,2.0.26
AI 그림일기,"항상 세줄일기 잘 쓰고 있는 유저인데요,,! 같이 쓰는 일기 인원 추가는 언제쯤 될까요..? 많은 친구들이랑 같이 일기 쓰고 싶어서 존버중입니다ㅠㅡㅠ",3,
AI 그림일기,개인일기장으로 쓰기 정말 좋음. 날짜를 마름대로 설정하고 사진까지... 잊었던 추억들도 기억나고 보기쉽게 정리할수있어서 좋음. 사진을 더 집어넣을수 있게 하면 더 좋을것 같아요,5,2.0.26
AI 그림일기,일기 쓰는 걸 항상 부담스러워 했던 나에게 부담없이 간단하게 자신의 발자취를 기록할 수 있는 최고의 앱!,5,2.0.26
AI 그림일기,좋아요,5,2.0.26
AI 그림일기,잘 쓰고 있습니다. 몇가지 의견드립니다. 1. 카테고리를 쉽게 접근할 수 있는 인터페이스가 있으면 좋겠습니다 2. 준비하고 계실것 같지만 책자제작 서비스가 있으면 좋을 것 같습니다 3. 프렌즈에서 pdf 백업만 단기결재 상품으로 있으면 좋겠습니다. 4. 화질 저하 문제는 완화되거나 가이드라인이 있으면 좋겠습니다 5. 내일기장 관리메뉴 같은곳이라도 일기장 조회수 같은 통계를 볼수있으면 좋겠습니다,5,2.0.26
AI 그림일기,"다 좋아요! 그런데 기능이 추가되면 더~! 좋을 것 같아요 ㅠㅠ 0. 숨은글이 길 때 폰 액정화면 안에 들어온 부분만 보이는 현상(전체는 안보임) 1. 사진 여러장 기재 2. 일기장 보이는 화면을 위로 밀면 숨은글 보이기 또는 공감글(댓글) 보이기, 아래로 내리면 다시 일기장 보이기 3. 함께 쓰는 일기장에서 글쓴이별로 일기 구분하기",5,2.0.26
AI 그림일기,좋아요 대박나세요,5,2.0.26
AI 그림일기,사진 한 장과 간단한 내용 기록 어렵지않게 쓸 수 있도록 잘 만들어진 앱 깔끔한 ux ui,5,2.0.26
AI 그림일기,앱 제작자들의 정성과 예쁜 마음이 느껴지는 앱. 사용자 입장을 고려하고 또 고려한 앱.,5,2.0.26
AI 그림일기,운영진님 고생하십니다 감사합니다 :) 일기장 중 책갈피 기능이나(타인의 일기장에도) 내 일기 중 숨김기능(나만보기) 개발되면 좋을 것 같은데 회의때 얘기나눠주시면 감사드리겠습니다,5,2.0.26
AI 그림일기,사진과 일기 암때나 어디서나 가능해서 넘 좋아요,1,2.0.26
AI 그림일기,기존폰이 망가져서 새폰으로 바꾸면서 계정을 잃어버렸습니다. 검색하면 글쓴이로 제께 조회가되는데 비공개인 상태여서 정보를 볼수가없네요. 계정 찾는방법이 없을까요.작성한게 너무 아까워요ㅜㅜ,4,2.0.26
AI 그림일기,잘 쓰고 있습니다 감사합니다~^^,5,2.0.26
AI 그림일기,비공개 설정을 했음에도.. 앱 분위기가 뭔가 찝찝하게 만듭니다. 혼자 보려는 일기장으로 쓰기에는 뭔가 불안한 느낌을 받는 것이 사실. 아예 오프라인 위주로 설정해 버릴 수 있었으면 좋겠습니다. 영구적인 비공개로 확실하게 걸어버릴 수 있는 기능같은게 있어도 좋을 것 같습니다.,4,2.0.26
AI 그림일기,좋아요,5,2.0.26
AI 그림일기,배준호 대표님 특강 멋져요~!,5,2.0.23
AI 그림일기,감성자극에 아주 좋은 어플같아요,4,2.0.26
AI 그림일기,핸드폰에 간직하는 많고 많은 앱중에 유일하게 리뷰를 남기는 앱 점점 행복해지는 느낌이 들게 하는 앱,5,2.0.26
AI 그림일기,"2019/09/24/화 - 숨은 글 기능에 문제점이 있습니다. 글자 수 제한은 풀려서 좋습니다. 그런데 스크롤이 안됩니다. 해당 부분에 수정 요합니다. 그리고, 처음에 등장하는 엽서 광고나 글씨체 교체시 광고를 매번 봐야 해서 불편합니다. 수익성 향상에 관한 부분도 이해를 하고, 좀 더 가독성 좋은 글씨체를 사용할 수 있다는 점에서 긍정적으로 봅니다만 불편함이 크므로 조절했으면 좋겠습니다. 만약 그것이 힘들다면 스킵 불가능한 6초 광고나 3초 광고를 고려해 보시는 건 어떨까 싶습니다. 해당 광고들은 사용자들이 감내할 수 있다고 봅니다.",5,2.0.26
AI 그림일기,엽서 구매페이지 안보면 정상메뉴도 못보게해놨네요. 기본서비스가 돈 버는 것 보다 우선입니다,1,2.0.26
AI 그림일기,이제 막 사용하기 시작했는데요. 일기가 간편하고 너무 좋네요~,5,2.0.26
AI 그림일기,좋은 아이디어네요. 일기 자꾸 안쓰게 되는데 사진이랑 함께 세줄씩 써보려고요ㅎㅎ,5,2.0.26
AI 그림일기,감성적으로 다운받아서 광고에 확깨는... 표지를 구지하라고하지말던가.. 첫페이지 표지설정 부터 광고부터 보고 시작하라는건 ㅋㅋ,4,2.0.26
AI 그림일기,좋다 그냥 좋다...,5,2.0.26
AI 그림일기,깔끔하고 괜춘숩니다,5,2.0.26
AI 그림일기,딱 제가 찾던 앱이에요! 계정이 있어서 일기 날아갈 걱정 안해도 될것같아요! 이걸 쓰면서 느낀 건데 진짜 책으로 만드는 옵션이 있었는면 좋겠어요! 책으로 남기면 뭔가 더 감성있고 추억이 되잖아요!!,5,2.0.26
AI 그림일기,숨은글보기에서 스크롤이 안 내려가 지는데..어떻게 된걸까요?,4,2.0.26
AI 그림일기,좋네요 잘쓸께요 고맙습니다.,5,2.0.26
AI 그림일기,계정복구 되나요?? 실수로 탈퇴했어요ㅠㅠ 제발 ㅠㅠ,5,2.0.26
AI 그림일기,넘 좋아영,5,2.0.26
AI 그림일기,구웃~~~^^,5,2.0.26
AI 그림일기,하루를 정리하며 내 언어를 만들어가고 있습니다 스몰빅이라는 단어와 어울리는 세줄일기 어플 만들어주셔서 감사합니다:),5,2.0.26
AI 그림일기,하루를 정리하면서 사진도 올리고 글도 쓰고 좋아요,5,2.0.26
AI 그림일기,좋은 앱이긴하지만 유료옵션이 많네요,4,2.0.26
AI 그림일기,굿,4,2.0.24
AI 그림일기,세줄만 써도 되니까! 세상 간편합니다 새삼 감사합니다,5,2.0.26
AI 그림일기,굿,5,2.0.26
AI 그림일기,"간단히 쓰기편하고, 감성적인 이미지가 마음을 편하게해주세요",5,2.0.26
AI 그림일기,이앱으로 감사일기쓰는중입니다~좋은앱 감사합니다,5,2.0.26
AI 그림일기,글을 다 쓰고 따로 저장을 하지 않아도 뒤로가기나 화면을 벗어나면 자동으로 저장이 되게 고쳐주세요. 컬러노트처럼요. 실컷 열심히 썼는데 날아간 게 여러번이에요.ㅡㅜ,5,2.0.26
AI 그림일기,"생각하게 만드는,되는,보게되는 ..꾸준하게 하게만드는 앱",5,2.0.26
AI 그림일기,굳,5,2.0.26
AI 그림일기,간편해서좋아요,5,2.0.24
AI 그림일기,너무 좋아요 ! 저는 육아일기도 쓰고 제 일상도 끄적이는데 세줄만 쓰면 되니까 간단하게 하루 일기 쓰기엔 딱인거같아여 👍 근데 폰트 점 업뎃 해주세여😭,5,2.0.26
AI 그림일기,마음을 치유하는 앱~,4,2.0.26
AI 그림일기,맘에들어요 일기쓰는걸 좋아했는데 성인되면서 쉽지가않더라구요 근데 짧게 내하루와마음을 표현할수있다는게 좋아요,5,2.0.26
AI 그림일기,제 정서와 딱 맞는 앱이예요. 나중에 소책자 인쇄기능 꼭 만들어주세요~ 개별 구독일기에 알림 체크기능 추가되면 좋을 것 같아요~,5,2.0.26
AI 그림일기,간결하고 쓰기좋은 앱입니다. 좋아요,5,2.0.26
AI 그림일기,사용을 할수있게 해줘야죠..? 뭐 할때마다 광고가 뜨면 . 유료결제 안하면 사용하지 말란거죠...? 하루를 간단하게 쓰라고 있는 3줄일기인데.. 글 배경추가할때.. 글 등록할때 마다 각각 30초씩 광고를 봐야되니. 이럴거면 굳이 다른어플많은데 사용 안하죠.. 그런의미로 삭제합니다.,1,2.0.26
AI 그림일기,하루를 마무리 할때 생각도 하게되고 좋습니다,5,
AI 그림일기,간결하지만 가슴이 찡합니다 ·🍒,5,2.0.26
AI 그림일기,얼마전부터 왜 자꾸 알림앱이 뜨죠? 환경설정에서 모두 알림신청 꺼 놨는데 매일은 아니지만 푸쉬알림이 떠요. 제발 시정좀 해주세요. 삭제할까도 했지만 조금 써놓은게 아까워서 인내하고 있어요,3,2.0.26
AI 그림일기,간단하게 하루의 감상을 적을 수 있어 좋습니다,5,2.0.26
AI 그림일기,나를 다시 한번 되돌아보게 만드는 어플입니다. 굳!,5,2.0.26
AI 그림일기,너무너무 좋아요. 디만 홈화면을 내 세줄 일기로 설정해두는데 자꾸 다른사람들의 일기(기본)으로 바뀌네요...이것만 해결해주신다면..,5,2.0.26
AI 그림일기,만족,5,2.0.24
AI 그림일기,"연애한지 200일이 넘은 평범한 대학생 입니다! 정말 3줄 일기 덕분에 하루하루 오빠와 좋은 추억을 남긴 일들을 세세하게 기록할 수있게 됬는데요 3줄 일기만의 이쁜 아기자기한 구성과 꾸밈들이 정말 맘에들고 간편하면서도 깔끔하게 작성할수 있다는게 큰 장점인것같아요. 다만 쓰면서 불편한게, 숨은글에 마저 디테일하게 작성하고 다시 읽어볼려고 들어갔는데 밑에 내려서 읽는게 안되네요ㅠ 혹시나 밑부분이 열심히 쓴 내용들이 날라갔나 덜컥 겁먹고 얼른 수정하기 눌러서 봤는데 그건 아니더라고요ㅎㅎ 그래서 숨은글 볼때 내려읽기 가능하게 살짝 손을 봐주셨음 합니다! 그 외에는 정말 좋습니다~~~",4,2.0.26
AI 그림일기,심플하고 좋아요 .하루 돌아보기,5,2.0.24
AI 그림일기,너무어려워요,1,
AI 그림일기,사용시 불편사항ㅡ비밀덧글 기능 만들어주세요.,3,2.0.26
AI 그림일기,좋아요!,5,2.0.24
AI 그림일기,구독자수 카운트 오류가 있음. 최근 일기 마지막장 이후 이상한 광고가 들어가서 기존의 깔끔한 느낌 사라짐.,2,2.0.26
AI 그림일기,좋아요 만족합니다,4,2.0.25
AI 그림일기,추억을 간직할 수 있어서 좋아요😊,5,2.0.24
AI 그림일기,너무 좋아요 사소하지만 매일 3줄만 쓰는거라 시간이 없어도 잘 쓰고있어요!! 너무 좋습니다,5,2.0.25
AI 그림일기,남편과 둘만 공유하는 일기가 되었어요 사진도 함께 보며 추억을 공유할수 있어 좋습니다.,5,2.0.26
AI 그림일기,하루하루 기록하기 좋아요 특히 사진을 같이 할 수있어서 그때의 어땠는지 떠올리기 좋은거 같아요 하루하루 빠르게 지나가서 아쉬운 분들에게 강추합니다,5,2.0.26
AI 그림일기,짧지만 자신의 삶을 기록할 수 있어 좋아요. 소소한 생활의 기록이지만 나중에는 좋은 추억이자 기록이 될 거예요.,5,2.0.26
AI 그림일기,좋아요,5,2.0.25
AI 그림일기,자신을 더 희망차게 만드는 멋진 세줄일기,5,2.0.26
AI 그림일기,일기앱이 처음이라 아직 불편함없이 잘 쓰고있는 상태에요,5,2.0.26
AI 그림일기,일상남기기,5,2.0.24
AI 그림일기,감사히 잘쓰고있어요,5,2.0.25
AI 그림일기,좋아요,5,2.0.25
AI 그림일기,일상을 기록할수있어 좋아요,5,2.0.26
AI 그림일기,세줄에 나의 삶 인생 가치를 담을 수 있네요,5,2.0.26
AI 그림일기,희노애락담긴곳,5,2.0.26
AI 그림일기,3줄로 일기를 써서 하루를 마무리해서 마음이 편안해지는 느낌이 들어서 좋았다.,5,2.0.25
AI 그림일기,업데이트 한 후에 앱이 굉장히 느려졌습니다. 그래서 별 3개이고 빠른 조치 부탁드립니다.,3,2.0.25
AI 그림일기,정말 좋은 어플인거 같은데 계속해서 튕깁니다 메일도 보내드렸는데 빠른해결 부탁드립니다,3,2.0.25
AI 그림일기,아 자꾸 튕겨요 앱깔고나서 친구랑 같이쓰는 일기장 만들고 한번도 못 들어가고 있어요 빨리 좀 고쳐요 앱지우기전에,1,2.0.25
AI 그림일기,"쓰기에 딱 좋습니다. 유익하네요. 공개,비공개설정은 변경할 수 있나요? 있다면 어디서 해야하나요?",5,2.0.25
AI 그림일기,넘 좋아요,5,2.0.24
AI 그림일기,좋음,5,2.0.24
AI 그림일기,같이쓰는 일기가 사라졌어요ㅜㅜ 왜 저한테만 안보이게된걸까요ㅠ,5,2.0.25
AI 그림일기,같이쓰는 일기가 왜 저한테는 안보이게된거죠ㅜㅜ 조치해주십시오..ㅜㅜ,3,
AI 그림일기,없음,4,2.0.25
AI 그림일기,좋아요 (๑•̀ㅂ•́)و✧,5,
AI 그림일기,업데이트를 했는데 자꾸 튀네요;; 업데이트 하기 전이 더 좋았는데.... 이 에러 고쳐주시면 진짜 별점 최대치 드릴 수 있는 앱인데...빨리 고쳐주세요 개발자님!,2,2.0.25
AI 그림일기,네트워크 접속오류가 나서 못쓰고 있어요,4,2.0.25
AI 그림일기,폰옮길때 다른곳에 저장하고싶을때 기록을 어떻게 업로드하나요?,4,2.0.25
AI 그림일기,일단 해봐요,5,2.0.24
AI 그림일기,간단하게 일기 쓰기 좋네요~~,4,2.0.25
AI 그림일기,굳,3,2.0.24
AI 그림일기,행복날을 기록하고 책으로 만들 수 있는 너무 좋은 어플이네요~,5,2.0.25
AI 그림일기,좋아요 근데 세줄 이상은 못쓰나요?,4,2.0.25
AI 그림일기,잘 만들었습니다,5,2.0.25
AI 그림일기,감사일기쓰는걸로 사용하는데 참좋아요. 간단하고 군더더기없고,4,2.0.24
AI 그림일기,어플 너무 잘 쓰고 있어요ㅎㅎ그런데 며칠 전 업데이트 한 뒤로 일기를 못쓰고 있어요 여태 너무 잘 사용하고 있었어서 너무 아쉬워요ㅜㅜㅜ제작자님 확인해주세요!!,5,2.0.25
AI 그림일기,내마음의 일기 함께 공유해요,5,2.0.24
AI 그림일기,좋아요,5,2.0.24
AI 그림일기,좋아오,5,2.0.24
AI 그림일기,간편하고 좋네요,4,2.0.24
AI 그림일기,세줄일기를 적으면 마음이 편해져요,5,2.0.25
AI 그림일기,완전좋아요,5,2.0.24
AI 그림일기,소소하게 하루 기록하고 떠올리기 좋은 어플이네요.,5,2.0.24
AI 그림일기,너무 좋아요.. 무언가 꾸준히 할 수있다는 자신감도 생기고ㅋ,5,2.0.25
AI 그림일기,심플하게 기록하기 정말 좋네요~^^ 꾸준히 나의 역사를 써 볼랍니다ㅎ,5,2.0.25
AI 그림일기,이거 일찍알았더라면~~너무 좋네요^^ (근데 앱에서 개인사진이 바로 효과편집되는 기능있음 더 좋을듯요~카톡프사처럼~~),4,2.0.24
AI 그림일기,좋음,5,2.0.24
AI 그림일기,매일 저녁시간에 보게되는 세줄일기 삶의 활력소 예요.,5,2.0.24
AI 그림일기,좋아요,5,2.0.24
AI 그림일기,"좋아용 근데 일기장을 공개로 설정하되, 어떤 페이지는 공개하고 어떤 페이지는 비공개로 설정하는 기능이 있으면 좋겠어요.. 몇몇 페이지는 다른 사람들하고 공개하고 싶고 몇몇페이지는 비공개로 공개 안 하고싶거든용...",5,2.0.24
AI 그림일기,안녕하세요 오늘 처음 다운받았습니다 그런데 시험삼아 이것저것 해보다 일기가 많이 만들어졌는데 만들어놓은 일기 삭제는 어떻게 하나요? 앞으로 잘 사용하겠습니다,5,2.0.24
AI 그림일기,일기를 세줄로 써서 신기해요,4,2.0.24
AI 그림일기,좋아요. 근데 쓴일기를 책으로 인쇄가능하게해주는 기능은없나요? 있었으면좋겠어요. 진짜 그런기능 강추합니다,5,2.0.24
AI 그림일기,저가 일기쓰기는 해야하는데 넘귀찮아요..그런데 이렇게 간단한 앱이있으니 부담없이 쓸수있오서 정말 좋은것같아요..!,5,2.0.24
AI 그림일기,마음에 드는 앱이네요,4,2.0.24
AI 그림일기,3줄로 내 하루를 정리하기 충분했다.,5,2.0.24
AI 그림일기,굿,5,2.0.24
AI 그림일기,친구들 넷이소 교환일기처럼 쓰려고 하는데 셋까지 밖에 없어서 불편하네요ㅜ,5,2.0.24
AI 그림일기,pdf 다운을 돈 내고 하라네여 ㅎㅎ 유료서비도 정액제인데 ㅋㅋㅋ 별 기능도 없는 이런 어플을 ㅋㅋ 아주 돈에 환장한듯,1,2.0.24
AI 그림일기,그 날의 짧은 느낌들을 깔끔하게 가다듬어 적을 수 있는 참 좋은 일기 앱이네요...,4,2.0.24
AI 그림일기,항상 잘 쓰고 있어요:) 저희 식구가 넷인데 같이 쓰는 일기 인원이 4~5명까지 가능했으면 좋겠어요ㅎㅎ 감사합니다,4,2.0.24
AI 그림일기,남편 권유로 세줄일기를 접했는데요. 너무 좋은듯. . . 남편과 대화를 많이 하는편이지만 일기 공유하면서 더 세심하게 상대방의 감정을 공유할 수 있어 너무 좋은 앱이라고 평가합니다. 어떤 분이 별 10개 말씀하시는데. . . 저두 너무나 공감되는 평가였어요 . 그런데 아쉬운 점이 있어요. '함께쓰기' 일기 너무 좋은데 인원이 한정되어 아쉬워요. 아이들과 공감할 수 있는 이야기를 써 내려가고 싶은데. . . 인원 증원할 수 있게 해주시기를 건의해봅니다.(기존 일기에 초대하기 기능도 좋을듯 합니다) 빠른 시일내에 의견이 반영되길 기대해봅니다.,5,2.0.24
